-0.10602,-0.10602
-0.10003,-0.10003
-0.10625,-0.10625
-0.10483,-0.10483
-0.10698,-0.10698
-0.11635,-0.11635
-0.12967,-0.12967
-0.13262,-0.13262
-0.17523,-0.17523
-0.21046,-0.21046
-0.25102,-0.25102
-0.27964,-0.27964
-0.29918,-0.29918
-0.35163,-0.35163
-0.3668,-0.3668
-0.38779,-0.38779
-0.38426,-0.38426
-0.38261,-0.38261
-0.37723,-0.37723
-0.37515,-0.37515
-0.36355,-0.36355
-0.34849,-0.34849
-0.33893,-0.33893
-0.31991,-0.31991
-0.30051,-0.30051
-0.28157,-0.28157
-0.26734,-0.26734
-0.016052,-0.016052
0.0088346,0.0088346
-0.031204,-0.031204
-0.019943,-0.019943
-0.014654,-0.014654
-0.0076437,-0.0076437
-0.043306,-0.043306
-0.070906,-0.070906
-0.077307,-0.077307
-0.095984,-0.095984
-0.088583,-0.088583
-0.090978,-0.090978
-0.079818,-0.079818
-0.071175,-0.071175
-0.060304,-0.060304
-0.05806,-0.05806
-0.054303,-0.054303
-0.048361,-0.048361
-0.045885,-0.045885
-0.050396,-0.050396
-0.054736,-0.054736
-0.06934,-0.06934
-0.077994,-0.077994
-0.09047,-0.09047
-0.099406,-0.099406
-0.10363,-0.10363
-0.1035,-0.1035
-0.10522,-0.10522
-0.10545,-0.10545
-0.097419,-0.097419
-0.083683,-0.083683
-0.086679,-0.086679
-0.094727,-0.094727
-0.082351,-0.082351
-0.10017,-0.10017
-0.092924,-0.092924
-0.10031,-0.10031
-0.097877,-0.097877
-0.10626,-0.10626
-0.089729,-0.089729
-0.09227,-0.09227
-0.095872,-0.095872
-0.1126,-0.1126
-0.10988,-0.10988
-0.11626,-0.11626
-0.11454,-0.11454
-0.11921,-0.11921
-0.11628,-0.11628
-0.15571,-0.15571
-0.16461,-0.16461
-0.19194,-0.19194
-0.17007,-0.17007
-0.15543,-0.15543
-0.14659,-0.14659
-0.15864,-0.15864
-0.16088,-0.16088
-0.15872,-0.15872
-0.16169,-0.16169
-0.15222,-0.15222
-0.14424,-0.14424
-0.14243,-0.14243
-0.13245,-0.13245
-0.13174,-0.13174
-0.12718,-0.12718
-0.12399,-0.12399
-0.13652,-0.13652
-0.14507,-0.14507
-0.1539,-0.1539
-0.16284,-0.16284
-0.17114,-0.17114
-0.18256,-0.18256
-0.18914,-0.18914
-0.18972,-0.18972
-0.1824,-0.1824
-0.17612,-0.17612
-0.1603,-0.1603
-0.1519,-0.1519
-0.1387,-0.1387
-0.12546,-0.12546
-0.11913,-0.11913
-0.107,-0.107
-0.10174,-0.10174
-0.098975,-0.098975
-0.099028,-0.099028
-0.099279,-0.099279
-0.10383,-0.10383
-0.10248,-0.10248
-0.11011,-0.11011
-0.11672,-0.11672
-0.11006,-0.11006
-0.11485,-0.11485
-0.10596,-0.10596
-0.10391,-0.10391
0.061551,0.061551
0.059005,0.059005
0.065624,0.065624
0.058433,0.058433
0.063785,0.063785
0.038807,0.038807
0.044727,0.044727
0.021598,0.021598
0.018364,0.018364
0.0061309,0.0061309
-0.010468,-0.010468
-0.016327,-0.016327
-0.024456,-0.024456
-0.013045,-0.013045
-0.020989,-0.020989
-0.010568,-0.010568
-0.010035,-0.010035
0.00314,0.00314
0.02283,0.02283
0.025854,0.025854
0.040225,0.040225
0.050381,0.050381
0.066962,0.066962
0.065571,0.065571
0.079702,0.079702
0.073045,0.073045
0.079666,0.079666
0.068334,0.068334
0.063461,0.063461
0.05249,0.05249
0.046723,0.046723
0.031059,0.031059
0.037615,0.037615
0.029045,0.029045
0.034989,0.034989
0.050491,0.050491
0.055742,0.055742
0.06987,0.06987
0.073719,0.073719
0.092279,0.092279
0.092096,0.092096
0.1163,0.1163
0.10924,0.10924
0.14269,0.14269
0.13634,0.13634
0.13367,0.13367
0.10978,0.10978
0.099012,0.099012
0.080873,0.080873
0.083013,0.083013
0.061681,0.061681
0.062813,0.062813
0.058697,0.058697
0.068489,0.068489
0.075554,0.075554
0.095842,0.095842
0.10304,0.10304
0.13227,0.13227
0.1529,0.1529
0.17843,0.17843
0.19761,0.19761
0.19718,0.19718
0.20446,0.20446
0.19352,0.19352
0.18332,0.18332
0.17874,0.17874
0.17466,0.17466
0.15627,0.15627
0.15929,0.15929
0.14328,0.14328
0.15438,0.15438
0.15216,0.15216
0.1558,0.1558
0.16281,0.16281
0.17546,0.17546
0.17433,0.17433
0.18135,0.18135
0.18494,0.18494
0.18904,0.18904
0.20145,0.20145
0.19839,0.19839
0.20351,0.20351
0.19475,0.19475
0.18069,0.18069
0.17728,0.17728
0.17315,0.17315
0.16289,0.16289
0.16598,0.16598
0.14154,0.14154
0.13671,0.13671
0.12884,0.12884
0.12381,0.12381
0.11873,0.11873
0.10932,0.10932
0.10769,0.10769
0.11688,0.11688
0.11277,0.11277
0.11529,0.11529
0.12268,0.12268
0.12342,0.12342
0.13874,0.13874
0.13888,0.13888
0.14809,0.14809
0.14378,0.14378
0.13545,0.13545
0.14636,0.14636
0.15606,0.15606
0.16169,0.16169
0.16296,0.16296
0.15133,0.15133
0.17005,0.17005
0.16915,0.16915
0.17344,0.17344
0.17415,0.17415
0.17451,0.17451
0.18871,0.18871
0.18871,0.18871
0.19085,0.19085
0.1974,0.1974
0.19497,0.19497
0.20276,0.20276
0.20605,0.20605
0.21139,0.21139
0.21245,0.21245
0.20244,0.20244
0.21359,0.21359
0.20482,0.20482
0.19302,0.19302
0.1703,0.1703
0.15505,0.15505
0.14635,0.14635
0.12304,0.12304
0.10247,0.10247
0.085474,0.085474
